"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 02 18:54:20 GMT 2024","Fri Feb 02 18:54:20 GMT 2024","517","","Account Page Feature","","Accounts section count","","Accounts section count",""
"passed","Fri Feb 02 18:54:22 GMT 2024","Fri Feb 02 18:54:24 GMT 2024","1271","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
"passed","Fri Feb 02 18:54:30 GMT 2024","Fri Feb 02 18:54:34 GMT 2024","3113","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 18:54:20 GMT 2024","Fri Feb 02 18:54:21 GMT 2024","1101","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
"passed","Fri Feb 02 18:54:24 GMT 2024","Fri Feb 02 18:54:27 GMT 2024","3840","","Login Functionality for OpenCart E-commerce Website","","Successful login with valid credentials","","Successful login with valid credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 18:54:18 GMT 2024","Fri Feb 02 18:54:19 GMT 2024","1744","","Account Page Feature","","Accounts page title","","Accounts page title",""
"passed","Fri Feb 02 18:54:37 GMT 2024","Fri Feb 02 18:54:40 GMT 2024","3020","","Login Functionality for OpenCart E-commerce Website","","Navigating to the forgotten password page","","Navigating to the forgotten password page","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 18:54:21 GMT 2024","Fri Feb 02 18:54:22 GMT 2024","1076","","Contact Us Feature","","Contact Us scenario with different set of data","","Contact Us scenario with different set of data",""
"passed","Fri Feb 02 18:54:34 GMT 2024","Fri Feb 02 18:54:37 GMT 2024","3070","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
"passed","Fri Feb 02 18:54:27 GMT 2024","Fri Feb 02 18:54:30 GMT 2024","3061","","Login Functionality for OpenCart E-commerce Website","","Unsuccessful login with invalid or empty credentials","","Unsuccessful login with invalid or empty credentials","  As a user of the OpenCart website
  I want to be able to log in with my account
  So that I can access my account-related features and manage my orders"
